"Transaction Id","Order Date","Ship Date","Ship Mode","Customer Name","Segment","Country","City","State","Region","Product ID","Category","Sub-category","Product Name","Sales","Quantity","Profit","Payment Mode"
"T00016","2023-10-09","2023-10-13","First Class","Sneha Desai","Home Office","India","Chennai","Tamil Nadu","South","P2685","Furniture","Table","Furniture - Table - 315","971.78","8","321.58","Debit Card"
"T00017","2023-10-23","2023-10-25","First Class","Rahul Malhotra","Home Office","India","Coimbatore","Tamil Nadu","South","P9622","Furniture","Table","Furniture - Table - 389","667.17","1","-76.32","Credit Card"
"T00018","2023-09-18","2023-09-19","First Class","Aarav Sharma","Home Office","India","Delhi","Delhi","North","P4189","Office Supplies","Binder","Office Supplies - Binder - 278","3954.78","7","208.54","Debit Card"
"T00019","2023-04-18","2023-04-20","Same Day","Diya Verma","Consumer","India","Agra","Uttar Pradesh","North","P9218","Furniture","Furnishing","Furniture - Furnishing - 204","660.71","6","274.91","EMI"
"T00020","2023-04-04","2023-04-05","First Class","Rahul Malhotra","Home Office","India","Coimbatore","Tamil Nadu","South","P9136","Furniture","Book-case","Furniture - Book-case - 790","1298.5","5","-190.37","UPI"
"T00021","2023-01-24","2023-01-28","Same Day","Neha Bansal","Consumer","India","Bhopal","Madhya Pradesh","Central","P2014","Technology","Phone","Technology - Phone - 823","260.51","7","112.66","UPI"
"T00022","2023-11-23","2023-11-27","Same Day","Krishna Reddy","Corporate","India","Delhi","Delhi","North","P1932","Technology","Art","Technology - Art - 289","1038.28","9","-3.56","UPI"
"T00023","2023-07-18","2023-07-21","First Class","Aman Kapoor","Corporate","India","Nashik","Maharashtra","West","P6793","Furniture","Furnishing","Furniture - Furnishing - 571","4291.46","8","1668.2","UPI"
"T00024","2023-11-26","2023-11-27","First Class","Rahul Malhotra","Corporate","India","Bangalore","Karnataka","South","P6513","Office Supplies","Binder","Office Supplies - Binder - 308","652.78","10","273.6","UPI"
"T00025","2023-04-08","2023-04-09","Same Day","Sneha Desai","Corporate","India","Agra","Uttar Pradesh","North","P9559","Technology","Accessories","Technology - Accessories - 890","1001.55","7","107.94","EMI"
"T00026","2023-05-14","2023-05-18","First Class","Saanvi Joshi","Home Office","India","Ahmedabad","Gujarat","West","P3546","Technology","Accessories","Technology - Accessories - 134","2201.14","6","-347.79","Debit Card"
"T00027","2023-06-13","2023-06-15","Same Day","Priya Nair","Consumer","India","Surat","Gujarat","West","P9261","Furniture","Furnishing","Furniture - Furnishing - 190","2248.1","6","630.74","UPI"
"T00028","2023-01-24","2023-01-27","Standard Class","Saanvi Joshi","Home Office","India","Chennai","Tamil Nadu","South","P6391","Furniture","Table","Furniture - Table - 649","2494.64","5","894.79","UPI"
"T00029","2023-02-26","2023-02-27","Second Class","Riya Gupta","Home Office","India","Mumbai","Maharashtra","West","P5813","Office Supplies","Storage","Office Supplies - Storage - 533","1315.35","5","0.18","Credit Card"
"T00030","2023-11-23","2023-11-26","Standard Class","Riya Gupta","Consumer","India","Delhi","Delhi","North","P5908","Office Supplies","Binder","Office Supplies - Binder - 771","299.83","4","46.16","UPI"
"T00031","2023-12-09","2023-12-11","First Class","Diya Verma","Home Office","India","Jaipur","Rajasthan","North","P6661","Technology","Phone","Technology - Phone - 638","1090.49","8","500.69","EMI"
"T00032","2023-09-23","2023-09-26","Standard Class","Meera Iyer","Corporate","India","Ludhiana","Punjab","North","P6423","Technology","Phone","Technology - Phone - 647","2024.54","10","519.97","Debit Card"
"T00033","2023-12-29","2024-01-02","Standard Class","Aarav Sharma","Home Office","India","Surat","Gujarat","West","P5659","Technology","Accessories","Technology - Accessories - 204","805.82","3","135.95","Debit Card"
"T00034","2023-11-13","2023-11-14","First Class","Vivaan Patel","Corporate","India","Mumbai","Maharashtra","West","P1962","Office Supplies","Bookcase","Office Supplies - Bookcase - 528","3362.43","6","1018.61","Cash"
"T00035","2023-08-03","2023-08-04","Standard Class","Aditya Rao","Home Office","India","Chennai","Tamil Nadu","South","P1242","Office Supplies","Storage","Office Supplies - Storage - 571","3515.62","4","-119.58","UPI"
"T00036","2023-01-03","2023-01-07","First Class","Saanvi Joshi","Consumer","India","Chennai","Tamil Nadu","South","P4028","Furniture","Table","Furniture - Table - 470","4577.3","9","-178.03","UPI"
"T00037","2023-11-16","2023-11-20","Second Class","Saanvi Joshi","Corporate","India","Patna","Bihar","East","P1034","Technology","Art","Technology - Art - 374","3150.49","7","30.72","UPI"
"T00038","2023-07-23","2023-07-26","Standard Class","Diya Verma","Corporate","India","Agra","Uttar Pradesh","North","P6315","Furniture","Table","Furniture - Table - 573","763.89","10","218.44","EMI"
"T00039","2023-03-27","2023-03-28","Second Class","Rahul Malhotra","Home Office","India","Surat","Gujarat","West","P1172","Technology","Art","Technology - Art - 959","1915.97","10","440.4","Credit Card"
"T00040","2023-01-07","2023-01-09","Standard Class","Aditya Rao","Consumer","India","Agra","Uttar Pradesh","North","P5989","Furniture","Furnishing","Furniture - Furnishing - 439","1526.81","9","269.78","UPI"
"T00041","2023-03-13","2023-03-15","Second Class","Arjun Mehta","Corporate","India","Ludhiana","Punjab","North","P2137","Office Supplies","Binder","Office Supplies - Binder - 855","948.8","3","384.84","UPI"
"T00042","2023-12-24","2023-12-28","Second Class","Saanvi Joshi","Home Office","India","Patna","Bihar","East","P8377","Technology","Accessories","Technology - Accessories - 663","3734.74","7","-153.83","Credit Card"
"T00043","2023-04-30","2023-05-02","Second Class","Anaya Singh","Corporate","India","Pune","Maharashtra","West","P2551","Technology","Art","Technology - Art - 880","2678.67","2","813.26","EMI"
"T00044","2023-09-01","2023-09-04","First Class","Sneha Desai","Home Office","India","Vijayawada","Andhra Pradesh","South","P8590","Technology","Art","Technology - Art - 547","3475.06","8","1375.17","EMI"
"T00045","2023-04-30","2023-05-03","Same Day","Diya Verma","Home Office","India","Ludhiana","Punjab","North","P8896","Technology","Phone","Technology - Phone - 749","740.44","5","99.29","Cash"
"T00046","2023-06-01","2023-06-04","First Class","Saanvi Joshi","Consumer","India","Kolkata","West Bengal","East","P1531","Office Supplies","Binder","Office Supplies - Binder - 280","405.51","10","57.44","Debit Card"
"T00047","2023-09-22","2023-09-26","Standard Class","Aman Kapoor","Corporate","India","Hyderabad","Telangana","South","P7428","Technology","Phone","Technology - Phone - 706","1490.92","4","210.36","Debit Card"
"T00048","2023-07-18","2023-07-22","Standard Class","Ishaan Das","Consumer","India","Hyderabad","Telangana","South","P8582","Technology","Phone","Technology - Phone - 539","3921.56","9","624.15","EMI"
"T00049","2023-04-25","2023-04-28","Same Day","Tanvi Sharma","Corporate","India","Lucknow","Uttar Pradesh","North","P8793","Furniture","Book-case","Furniture - Book-case - 603","2421.26","5","1168.85","Credit Card"
"T00050","2023-11-21","2023-11-24","Same Day","Priya Nair","Consumer","India","Bhopal","Madhya Pradesh","Central","P9752","Technology","Accessories","Technology - Accessories - 182","163.82","5","6.06","UPI"
"T00051","2023-03-09","2023-03-11","First Class","Aarav Sharma","Corporate","India","Surat","Gujarat","West","P8266","Furniture","Table","Furniture - Table - 315","638.22","1","155.11","EMI"
"T00052","2023-07-13","2023-07-17","First Class","Kabir Khan","Corporate","India","Patna","Bihar","East","P2590","Technology","Accessories","Technology - Accessories - 769","4131.39","1","477.63","Debit Card"
"T00053","2023-02-27","2023-02-28","Same Day","Rohan Chatterjee","Corporate","India","Delhi","Delhi","North","P8807","Technology","Accessories","Technology - Accessories - 266","753.58","9","133.95","Cash"
"T00054","2023-07-05","2023-07-07","Standard Class","Kabir Khan","Corporate","India","Delhi","Delhi","North","P1996","Office Supplies","Copy","Office Supplies - Copy - 563","336.56","3","8.58","Debit Card"
"T00055","2023-10-20","2023-10-24","First Class","Arjun Mehta","Home Office","India","Pune","Maharashtra","West","P3762","Technology","Phone","Technology - Phone - 419","3673.83","8","-487.74","Debit Card"
"T00056","2023-04-04","2023-04-05","Second Class","Aarav Sharma","Corporate","India","Chennai","Tamil Nadu","South","P3612","Technology","Phone","Technology - Phone - 399","834.78","5","254.49","Cash"
"T00057","2023-11-30","2023-12-01","Standard Class","Meera Iyer","Consumer","India","Nashik","Maharashtra","West","P5913","Office Supplies","Paper","Office Supplies - Paper - 497","722.97","5","126.36","Cash"
"T00058","2023-10-30","2023-11-03","First Class","Priya Nair","Home Office","India","Ahmedabad","Gujarat","West","P6083","Furniture","Table","Furniture - Table - 339","4817.94","10","1795.99","Debit Card"
"T00059","2023-04-16","2023-04-18","Same Day","Kabir Khan","Home Office","India","Mumbai","Maharashtra","West","P6569","Office Supplies","Storage","Office Supplies - Storage - 735","2671.53","10","12.78","Credit Card"
"T00060","2023-03-27","2023-03-30","Second Class","Kabir Khan","Home Office","India","Lucknow","Uttar Pradesh","North","P8927","Office Supplies","Bookcase","Office Supplies - Bookcase - 321","3571.58","2","1454.54","UPI"
"T00061","2023-12-13","2023-12-17","Same Day","Neha Bansal","Corporate","India","Ahmedabad","Gujarat","West","P4199","Office Supplies","Binder","Office Supplies - Binder - 849","2053.06","2","938.92","Debit Card"
"T00062","2023-12-16","2023-12-19","Standard Class","Kabir Khan","Consumer","India","Nashik","Maharashtra","West","P8499","Office Supplies","Paper","Office Supplies - Paper - 348","4717.28","1","913.58","Credit Card"
"T00063","2023-07-16","2023-07-18","Second Class","Sneha Desai","Consumer","India","Lucknow","Uttar Pradesh","North","P1343","Office Supplies","Bookcase","Office Supplies - Bookcase - 319","2467.05","6","-434.77","UPI"
"T00064","2023-03-28","2023-03-29","Same Day","Kritika Jain","Consumer","India","Pune","Maharashtra","West","P8433","Furniture","Furnishing","Furniture - Furnishing - 194","1953.84","10","351.13","EMI"
"T00065","2023-06-29","2023-07-01","First Class","Tanvi Sharma","Home Office","India","Agra","Uttar Pradesh","North","P1755","Technology","Phone","Technology - Phone - 583","4076.88","4","653.52","Cash"
"T00066","2023-11-11","2023-11-14","Second Class","Priya Nair","Corporate","India","Nashik","Maharashtra","West","P5193","Furniture","Table","Furniture - Table - 317","3285.03","10","1156.9","Cash"
"T00067","2023-11-01","2023-11-04","First Class","Priya Nair","Consumer","India","Nashik","Maharashtra","West","P2736","Furniture","Table","Furniture - Table - 287","837.9","5","316.67","Debit Card"
"T00068","2023-03-13","2023-03-16","Second Class","Rohan Chatterjee","Home Office","India","Kolkata","West Bengal","East","P9453","Furniture","Book-case","Furniture - Book-case - 471","1394.52","5","175.85","EMI"
"T00069","2023-09-19","2023-09-21","Standard Class","Arjun Mehta","Consumer","India","Agra","Uttar Pradesh","North","P4691","Furniture","Table","Furniture - Table - 645","1603.13","6","41.69","UPI"
"T00070","2023-10-02","2023-10-06","Second Class","Vivaan Patel","Consumer","India","Patna","Bihar","East","P4861","Office Supplies","Copy","Office Supplies - Copy - 145","154.56","3","50.85","Cash"
"T00071","2023-01-01","2023-01-05","Same Day","Krishna Reddy","Corporate","India","Patna","Bihar","East","P4421","Furniture","Furnishing","Furniture - Furnishing - 929","3575.88","5","-183.13","EMI"
"T00072","2023-01-10","2023-01-13","Same Day","Arjun Mehta","Corporate","India","Mumbai","Maharashtra","West","P2599","Technology","Art","Technology - Art - 428","1137.76","8","-207.02","Debit Card"
"T00073","2023-09-16","2023-09-19","Same Day","Diya Verma","Corporate","India","Bhopal","Madhya Pradesh","Central","P1737","Furniture","Table","Furniture - Table - 935","4523.67","5","1309.38","Credit Card"
"T00074","2023-06-11","2023-06-12","Standard Class","Tanvi Sharma","Home Office","India","Bangalore","Karnataka","South","P6093","Office Supplies","Bookcase","Office Supplies - Bookcase - 992","3973.85","5","-187.36","UPI"
"T00075","2023-08-03","2023-08-06","Standard Class","Priya Nair","Corporate","India","Bangalore","Karnataka","South","P8557","Technology","Phone","Technology - Phone - 316","3485.18","6","852.08","EMI"
"T00076","2023-02-22","2023-02-23","Second Class","Kritika Jain","Corporate","India","Bangalore","Karnataka","South","P1919","Furniture","Table","Furniture - Table - 838","2304.09","1","-166.86","Debit Card"
"T00077","2023-02-08","2023-02-11","First Class","Neha Bansal","Consumer","India","Bhopal","Madhya Pradesh","Central","P5979","Office Supplies","Paper","Office Supplies - Paper - 923","4540.38","10","886.81","Debit Card"
"T00078","2023-12-17","2023-12-21","Second Class","Sneha Desai","Consumer","India","Mumbai","Maharashtra","West","P3193","Technology","Accessories","Technology - Accessories - 704","972.59","4","450.45","EMI"
"T00079","2023-10-26","2023-10-28","Second Class","Diya Verma","Corporate","India","Bangalore","Karnataka","South","P6601","Office Supplies","Paper","Office Supplies - Paper - 571","4777.89","3","-441.93","Debit Card"
"T00080","2023-07-31","2023-08-03","Standard Class","Riya Gupta","Corporate","India","Bhopal","Madhya Pradesh","Central","P5221","Furniture","Book-case","Furniture - Book-case - 190","3571.95","9","-321.69","EMI"
"T00081","2023-09-18","2023-09-22","Same Day","Priya Nair","Corporate","India","Kolkata","West Bengal","East","P3217","Office Supplies","Storage","Office Supplies - Storage - 131","1896.95","10","144.22","Debit Card"
"T00082","2023-07-12","2023-07-15","Same Day","Krishna Reddy","Home Office","India","Patna","Bihar","East","P7661","Office Supplies","Copy","Office Supplies - Copy - 754","2920.23","2","-418.51","UPI"
"T00083","2023-06-17","2023-06-20","Standard Class","Vivaan Patel","Corporate","India","Patna","Bihar","East","P7766","Office Supplies","Copy","Office Supplies - Copy - 698","505.12","2","200.84","Debit Card"
"T00084","2023-07-04","2023-07-05","Standard Class","Riya Gupta","Corporate","India","Bangalore","Karnataka","South","P5708","Office Supplies","Paper","Office Supplies - Paper - 845","2991.82","8","-238.9","Debit Card"
"T00085","2023-08-10","2023-08-11","Standard Class","Priya Nair","Home Office","India","Vijayawada","Andhra Pradesh","South","P2033","Technology","Art","Technology - Art - 885","4436.44","1","1487.1","EMI"
"T00086","2023-03-30","2023-04-01","Same Day","Sneha Desai","Home Office","India","Ahmedabad","Gujarat","West","P8208","Office Supplies","Copy","Office Supplies - Copy - 754","176.22","5","4.42","EMI"
"T00087","2023-09-21","2023-09-24","First Class","Neha Bansal","Home Office","India","Pune","Maharashtra","West","P1524","Furniture","Book-case","Furniture - Book-case - 171","1697","10","-126.16","EMI"
"T00088","2023-10-28","2023-10-30","Standard Class","Krishna Reddy","Corporate","India","Lucknow","Uttar Pradesh","North","P3346","Office Supplies","Paper","Office Supplies - Paper - 715","1048.66","5","-155.09","UPI"
"T00089","2023-11-29","2023-12-01","Same Day","Priya Nair","Corporate","India","Agra","Uttar Pradesh","North","P9848","Furniture","Furnishing","Furniture - Furnishing - 871","4774.42","2","264.02","Cash"
"T00090","2023-06-03","2023-06-05","Second Class","Aditya Rao","Consumer","India","Patna","Bihar","East","P5149","Furniture","Table","Furniture - Table - 877","1155.45","10","-128.93","Debit Card"
"T00091","2023-09-18","2023-09-21","Same Day","Meera Iyer","Corporate","India","Jaipur","Rajasthan","North","P4673","Office Supplies","Paper","Office Supplies - Paper - 907","1787.49","6","127.84","Credit Card"
"T00092","2023-12-23","2023-12-25","Standard Class","Meera Iyer","Home Office","India","Nashik","Maharashtra","West","P7257","Office Supplies","Binder","Office Supplies - Binder - 673","4096.68","9","1184.92","Cash"
"T00093","2023-06-16","2023-06-19","First Class","Meera Iyer","Home Office","India","Bangalore","Karnataka","South","P9263","Technology","Accessories","Technology - Accessories - 382","1476.48","7","565.35","UPI"
"T00094","2023-05-27","2023-05-31","Standard Class","Diya Verma","Corporate","India","Coimbatore","Tamil Nadu","South","P6559","Furniture","Furnishing","Furniture - Furnishing - 408","632.2","7","246.51","Debit Card"
"T00095","2023-10-03","2023-10-04","Same Day","Sneha Desai","Corporate","India","Jaipur","Rajasthan","North","P4468","Office Supplies","Binder","Office Supplies - Binder - 925","1054.87","10","34.2","EMI"
"T00096","2023-04-25","2023-04-26","Second Class","Rahul Malhotra","Corporate","India","Mumbai","Maharashtra","West","P2795","Technology","Phone","Technology - Phone - 883","3167.58","1","266.89","Credit Card"
"T00097","2023-05-23","2023-05-27","Standard Class","Kritika Jain","Corporate","India","Bhopal","Madhya Pradesh","Central","P9036","Office Supplies","Copy","Office Supplies - Copy - 750","1757.96","4","399.7","UPI"
"T00098","2023-08-22","2023-08-23","Second Class","Tanvi Sharma","Consumer","India","Bhopal","Madhya Pradesh","Central","P5927","Technology","Accessories","Technology - Accessories - 777","1435.91","5","109.27","Cash"
"T00099","2023-02-08","2023-02-09","Standard Class","Rohan Chatterjee","Corporate","India","Ahmedabad","Gujarat","West","P3104","Office Supplies","Paper","Office Supplies - Paper - 218","2338.2","9","-135.17","Credit Card"
"T00100","2023-04-11","2023-04-15","Same Day","Krishna Reddy","Home Office","India","Ludhiana","Punjab","North","P3245","Technology","Phone","Technology - Phone - 346","603.25","7","-92.98","EMI"
"T00101","2023-01-28","2023-01-29","Standard Class","Rahul Malhotra","Corporate","India","Nashik","Maharashtra","West","P3413","Furniture","Furnishing","Furniture - Furnishing - 346","4748.22","3","2233.23","UPI"
"T00102","2023-06-05","2023-06-07","Same Day","Meera Iyer","Consumer","India","Indore","Madhya Pradesh","Central","P3264","Furniture","Table","Furniture - Table - 148","3297.73","6","189.32","EMI"
"T00103","2023-04-19","2023-04-21","Second Class","Diya Verma","Corporate","India","Jaipur","Rajasthan","North","P3052","Furniture","Table","Furniture - Table - 231","486.06","4","53.68","EMI"
"T00104","2023-01-27","2023-01-29","Same Day","Neha Bansal","Corporate","India","Kolkata","West Bengal","East","P5611","Office Supplies","Storage","Office Supplies - Storage - 598","1514.25","2","252.68","UPI"
"T00105","2023-05-25","2023-05-29","Standard Class","Aarav Sharma","Home Office","India","Ahmedabad","Gujarat","West","P2315","Furniture","Table","Furniture - Table - 794","3852.88","3","1290.67","Credit Card"
"T00106","2023-12-29","2024-01-01","Standard Class","Diya Verma","Consumer","India","Bhopal","Madhya Pradesh","Central","P9422","Technology","Phone","Technology - Phone - 868","913.09","5","-102.27","Cash"
"T00107","2023-09-03","2023-09-04","Same Day","Neha Bansal","Corporate","India","Lucknow","Uttar Pradesh","North","P3219","Furniture","Furnishing","Furniture - Furnishing - 858","4710.8","9","695.74","EMI"
"T00108","2023-02-24","2023-02-26","Second Class","Arjun Mehta","Corporate","India","Bangalore","Karnataka","South","P3839","Furniture","Table","Furniture - Table - 208","2766.73","6","943.34","Cash"
"T00109","2023-02-08","2023-02-10","Standard Class","Saanvi Joshi","Home Office","India","Lucknow","Uttar Pradesh","North","P9194","Office Supplies","Bookcase","Office Supplies - Bookcase - 983","4201.57","8","1690.44","Debit Card"
"T00110","2023-11-14","2023-11-18","Standard Class","Krishna Reddy","Consumer","India","Hyderabad","Telangana","South","P7711","Furniture","Book-case","Furniture - Book-case - 117","1080.19","5","-128.61","EMI"
"T00111","2023-12-27","2023-12-28","Same Day","Meera Iyer","Corporate","India","Coimbatore","Tamil Nadu","South","P2286","Office Supplies","Copy","Office Supplies - Copy - 237","1474.85","3","-33.71","Debit Card"
"T00112","2023-09-10","2023-09-11","Standard Class","Saanvi Joshi","Consumer","India","Pune","Maharashtra","West","P6774","Technology","Phone","Technology - Phone - 248","872.71","10","192.45","Cash"
"T00113","2023-03-29","2023-04-02","First Class","Rohan Chatterjee","Home Office","India","Nagpur","Maharashtra","West","P7188","Technology","Phone","Technology - Phone - 901","2040.55","3","542.5","Cash"
"T00114","2023-08-02","2023-08-04","Second Class","Aarav Sharma","Home Office","India","Indore","Madhya Pradesh","Central","P5927","Office Supplies","Paper","Office Supplies - Paper - 578","2185.6","5","22.3","Debit Card"
"T00115","2023-02-24","2023-02-25","Second Class","Saanvi Joshi","Consumer","India","Coimbatore","Tamil Nadu","South","P4758","Technology","Phone","Technology - Phone - 966","3812.39","2","517.14","UPI"
"T00116","2023-11-03","2023-11-05","Same Day","Anaya Singh","Corporate","India","Nagpur","Maharashtra","West","P6176","Technology","Accessories","Technology - Accessories - 607","1124.01","4","376.89","Cash"
"T00117","2023-11-02","2023-11-06","Second Class","Rohan Chatterjee","Corporate","India","Indore","Madhya Pradesh","Central","P8386","Furniture","Book-case","Furniture - Book-case - 412","4325.25","4","-692.63","Credit Card"
"T00118","2023-06-06","2023-06-10","Second Class","Priya Nair","Corporate","India","Vijayawada","Andhra Pradesh","South","P8350","Technology","Art","Technology - Art - 823","2266.09","10","603.04","EMI"
"T00119","2023-03-04","2023-03-08","Standard Class","Aditya Rao","Home Office","India","Ahmedabad","Gujarat","West","P3674","Technology","Phone","Technology - Phone - 501","2815.37","10","1004.07","Credit Card"
"T00120","2023-06-29","2023-06-30","First Class","Priya Nair","Consumer","India","Vijayawada","Andhra Pradesh","South","P2689","Technology","Accessories","Technology - Accessories - 267","1290.78","4","-98.49","Credit Card"
"T00121","2023-08-15","2023-08-18","Second Class","Rahul Malhotra","Home Office","India","Ahmedabad","Gujarat","West","P6737","Technology","Art","Technology - Art - 591","1705.31","4","117.24","Cash"
"T00122","2023-07-24","2023-07-26","First Class","Tanvi Sharma","Corporate","India","Delhi","Delhi","North","P1277","Technology","Phone","Technology - Phone - 788","4126.58","2","626.31","Debit Card"
"T00123","2023-10-26","2023-10-28","First Class","Ishaan Das","Home Office","India","Coimbatore","Tamil Nadu","South","P5615","Office Supplies","Paper","Office Supplies - Paper - 568","1075.28","1","205.46","Cash"
"T00124","2023-07-29","2023-08-02","First Class","Arjun Mehta","Home Office","India","Ludhiana","Punjab","North","P7468","Technology","Accessories","Technology - Accessories - 473","1773.62","4","89.47","Debit Card"
"T00125","2023-05-05","2023-05-09","First Class","Vivaan Patel","Corporate","India","Coimbatore","Tamil Nadu","South","P1298","Office Supplies","Paper","Office Supplies - Paper - 498","2713.75","8","-240.57","EMI"
"T00126","2023-08-07","2023-08-10","Second Class","Kabir Khan","Corporate","India","Patna","Bihar","East","P3699","Office Supplies","Binder","Office Supplies - Binder - 757","4143.23","3","702.88","EMI"
"T00127","2023-09-23","2023-09-26","Standard Class","Priya Nair","Consumer","India","Indore","Madhya Pradesh","Central","P7852","Furniture","Table","Furniture - Table - 587","3738.57","7","1608.26","Debit Card"
"T00128","2023-05-29","2023-06-01","First Class","Kritika Jain","Consumer","India","Bangalore","Karnataka","South","P7801","Furniture","Furnishing","Furniture - Furnishing - 718","4341.31","7","2112.64","EMI"
"T00129","2023-12-25","2023-12-29","Same Day","Aman Kapoor","Consumer","India","Ludhiana","Punjab","North","P1100","Furniture","Furnishing","Furniture - Furnishing - 438","3071.97","6","257.09","Cash"
"T00130","2023-08-27","2023-08-31","Second Class","Rohan Chatterjee","Corporate","India","Jaipur","Rajasthan","North","P2356","Office Supplies","Bookcase","Office Supplies - Bookcase - 845","544.61","1","-25.66","Cash"
"T00131","2023-04-02","2023-04-06","First Class","Neha Bansal","Home Office","India","Coimbatore","Tamil Nadu","South","P1801","Technology","Phone","Technology - Phone - 850","222.83","6","6.46","Debit Card"
"T00132","2023-08-13","2023-08-15","Second Class","Aarav Sharma","Home Office","India","Chennai","Tamil Nadu","South","P4005","Office Supplies","Binder","Office Supplies - Binder - 648","3835.33","10","-326.84","EMI"
"T00133","2023-10-11","2023-10-15","First Class","Kabir Khan","Corporate","India","Ludhiana","Punjab","North","P5174","Office Supplies","Copy","Office Supplies - Copy - 685","1114.72","7","-192.82","Credit Card"
"T00134","2023-12-03","2023-12-07","Second Class","Kabir Khan","Corporate","India","Jaipur","Rajasthan","North","P8123","Technology","Art","Technology - Art - 693","4497.39","6","-548.84","Cash"
"T00135","2023-10-02","2023-10-06","First Class","Meera Iyer","Home Office","India","Mumbai","Maharashtra","West","P5718","Furniture","Table","Furniture - Table - 877","2060.63","4","-232.31","EMI"
"T00136","2023-07-28","2023-07-29","Second Class","Aditya Rao","Corporate","India","Delhi","Delhi","North","P3041","Furniture","Table","Furniture - Table - 703","1623.7","10","224.26","Credit Card"
"T00137","2023-03-31","2023-04-01","First Class","Kabir Khan","Corporate","India","Indore","Madhya Pradesh","Central","P8310","Technology","Accessories","Technology - Accessories - 662","4131.12","8","1287.59","Credit Card"
"T00138","2023-04-28","2023-04-30","Standard Class","Neha Bansal","Home Office","India","Jaipur","Rajasthan","North","P7142","Office Supplies","Paper","Office Supplies - Paper - 441","453.18","10","6.53","UPI"
"T00139","2023-05-14","2023-05-16","Same Day","Rohan Chatterjee","Corporate","India","Delhi","Delhi","North","P6936","Technology","Accessories","Technology - Accessories - 625","4097.26","8","792.21","UPI"
"T00140","2023-05-15","2023-05-16","First Class","Rohan Chatterjee","Corporate","India","Bangalore","Karnataka","South","P5476","Office Supplies","Binder","Office Supplies - Binder - 543","269.06","8","-32.25","Cash"
"T00141","2023-09-17","2023-09-19","Second Class","Neha Bansal","Consumer","India","Agra","Uttar Pradesh","North","P7754","Furniture","Book-case","Furniture - Book-case - 989","618.04","7","259.37","Credit Card"
